Name;;RA;;;Dec;;K;V_H;sig;sour;type;d1;d2;;;
;hh;mm;ss.ss;ddd;mm;dd.d;mag;km/s;km/s;;;arcmin;;;;
110000.95+2142354;11;00;0.95;+21;42;35.4;12.66;0;0;0;;0.46;0.28;1.063;0.328;0.620  
110001.01+0106443;11;00;1.01;+01;06;44.3;11.91;11706;21;5901;;0.34;0.23;1.117;0.388;0.680  
110000.82+0921472;11;00;0.82;+09;21;47.2;12.48;0;0;0;;0.28;0.21;1.163;0.487;0.760  
110001.01+1415375;11;00;1.01;+14;15;37.5;13.36;52541;50;5920;;0.24;0.21;1.247;0.522;0.860  
110001.46-0255362;11;00;1.46;-02;55;36.2;13.39;14160;39;5100;;0.19;0.19;0.997;0.262;1.000  
110001.93+0146344;11;00;1.93;+01;46;34.4;11.34;12163;38;-1;;0.65;0.49;1.033;0.382;0.760  
110002.13-0257162;11;00;2.13;-02;57;16.2;13.29;11441;87;1777;;0.19;0.11;0.943;0.285;0.600  
110002.33+2118504;11;00;2.33;+21;18;50.4;13.04;0;0;0;;0.38;0.21;1.189;0.409;0.560  
110002.39+1450295;11;00;2.39;+14;50;29.5;9.80;1436;4;611;4B3R;1.86;1.60;0.897;0.126;0.860  
110003.24+1215155;11;00;3.24;+12;15;15.5;13.43;35627;45;5920;;0.18;0.18;1.123;0.400;0.980  
110003.88+1725275;11;00;3.88;+17;25;27.5;11.37;8858;45;2700;;0.48;0.22;1.082;0.345;0.460  
110003.92+2008154;11;00;3.92;+20;08;15.4;13.02;0;0;0;;0.26;0.22;1.226;0.458;0.820  
110004.10+3003131;11;00;4.10;+30;03;13.1;12.67;16194;53;5920;;0.40;0.26;0.923;0.264;0.660  
110004.13+0611172;11;00;4.13;+06;11;17.2;13.14;15766;46;5918;;0.24;0.21;1.063;0.352;0.860  
110004.54+1214045;11;00;4.54;+12;14;4.5;12.16;6276;2;661;4A;0.53;0.23;0.905;0.309;0.440  
110004.58+0553444;11;00;4.58;+05;53;44.4;13.38;20185;17;5918;;0.25;0.20;1.165;0.537;0.820  
110005.93+1546285;11;00;5.93;+15;46;28.5;12.26;27017;35;-160;;0.54;0.32;1.097;0.333;0.600  
110005.94+0637402;11;00;5.94;+06;37;40.2;13.42;30822;49;5918;;0.21;0.18;1.170;0.463;0.880  
110006.67-0435312;11;00;6.67;-04;35;31.2;13.39;27088;87;1777;;0.29;0.17;1.090;0.334;0.600  
110006.77+1400095;11;00;6.77;+14;00;9.5;13.40;19252;45;5920;;0.19;0.12;1.094;0.459;0.640  
110006.86-0633168;11;00;6.86;-06;33;16.8;13.10;24310;39;5100;;0.21;0.18;1.018;0.395;0.860  
110007.05+1610545;11;00;7.05;+16;10;54.5;12.98;0;0;0;;0.32;0.29;1.267;0.479;0.900  
110007.79+1015222;11;00;7.79;+10;15;22.2;12.40;10027;7;661;5;0.31;0.18;1.127;0.469;0.600  
110008.12+1312105;11;00;8.12;+13;12;10.5;13.35;19462;31;5920;;0.19;0.16;1.076;0.469;0.840  
110008.91+0824092;11;00;8.91;+08;24;9.2;13.10;21793;20;5918;;0.36;0.12;1.585;0.623;0.323  
110009.22+2240574;11;00;9.22;+22;40;57.4;13.37;0;0;0;;0.19;0.15;1.137;0.542;0.800  
110009.67-0252222;11;00;9.67;-02;52;22.2;12.35;14455;87;1777;;0.25;0.20;1.016;0.340;0.780  
110009.93+1022137;11;00;9.93;+10;22;13.7;12.98;11017;4;661;3;0.31;0.26;1.081;0.672;0.840  
110010.92+1827384;11;00;10.92;+18;27;38.4;13.20;0;0;0;;0.23;0.17;1.021;0.369;0.760  
110011.19+0935337;11;00;11.19;+09;35;33.7;11.65;10586;28;-160;;0.48;0.20;0.949;0.211;0.420  
